"i";"j";"S";"OS";"WN";"ST"
"dados1";"dados2";0,529411764705882;0,428571428571429;0,75;0,321428571428571
"dados1";"dados3";0,529411764705882;0,375;0,722222222222222;0,347222222222222
"dados1";"dados4";0,384615384615385;0,375;0,642857142857143;0,267857142857143
"dados1";"dados5";0,764705882352941;0,666666666666667;0,941176470588235;0,274509803921569
"dados1";"dados6";0,555555555555556;0,375;0,75;0,375
"dados1";"dados7";0,684210526315789;0,5;0,9;0,4
"dados1";"dados8";0,631578947368421;0,833333333333333;0,956521739130435;0,123188405797102
"dados1";"dados9";0,5;0,5;0,769230769230769;0,269230769230769
"dados1";"dados10";0,466666666666667;0,428571428571429;0,692307692307692;0,263736263736264
"dados1";"dados11";0,45;0,363636363636364;0,708333333333333;0,34469696969697
"dados1";"dados12";0,631578947368421;0,6;0,882352941176471;0,282352941176471
"dados2";"dados3";0,6;0,777777777777778;0,91304347826087;0,135265700483092
"dados2";"dados4";0,588235294117647;0,625;0,833333333333333;0,208333333333333
"dados2";"dados5";0,666666666666667;0,25;0,823529411764706;0,573529411764706
"dados2";"dados6";0,619047619047619;0,428571428571429;0,826086956521739;0,397515527950311
"dados2";"dados7";0,6;0,75;0,909090909090909;0,159090909090909
"dados2";"dados8";0,388888888888889;0,454545454545455;0,7;0,245454545454546
"dados2";"dados9";0,666666666666667;0,5;0,875;0,375
"dados2";"dados10";0,470588235294118;0,571428571428572;0,8125;0,241071428571429
"dados2";"dados11";0,521739130434783;0,615384615384615;0,821428571428572;0,206043956043956
"dados2";"dados12";0,55;0,666666666666667;0,894736842105263;0,228070175438597
"dados3";"dados4";0,588235294117647;0,625;0,857142857142857;0,232142857142857
"dados3";"dados5";0,666666666666667;0,5;0,85;0,35
"dados3";"dados6";0,55;0,666666666666667;0,846153846153846;0,179487179487179
"dados3";"dados7";0,6;0,777777777777778;0,92;0,142222222222222
"dados3";"dados8";0,55;0,7;0,884615384615385;0,184615384615385
"dados3";"dados9";0,588235294117647;0;0,764705882352941;0,764705882352941
"dados3";"dados10";0,631578947368421;0,4;0,842105263157895;0,442105263157895
"dados3";"dados11";0,454545454545455;0,5;0,714285714285714;0,214285714285714
"dados3";"dados12";0,739130434782609;0,75;0,956521739130435;0,206521739130435
"dados4";"dados5";0,666666666666667;0,833333333333333;0,944444444444444;0,111111111111111
"dados4";"dados6";0,611111111111111;0,142857142857143;0,7;0,557142857142857
"dados4";"dados7";0,588235294117647;0,6;0,904761904761905;0,304761904761905
"dados4";"dados8";0,684210526315789;0,8;0,958333333333333;0,158333333333333
"dados4";"dados9";0,571428571428572;0,6;0,866666666666667;0,266666666666667
"dados4";"dados10";0,533333333333333;0,75;0,875;0,125
"dados4";"dados11";0,636363636363636;0,444444444444444;0,814814814814815;0,37037037037037
"dados4";"dados12";0,684210526315789;0,666666666666667;0,888888888888889;0,222222222222222
"dados5";"dados6";0,75;0,6;0,91304347826087;0,31304347826087
"dados5";"dados7";0,8;0,666666666666667;0,952380952380952;0,285714285714286
"dados5";"dados8";0,529411764705882;0,444444444444444;0,736842105263158;0,292397660818713
"dados5";"dados9";0,75;0;0,857142857142857;0,857142857142857
"dados5";"dados10";0,777777777777778;0,666666666666667;0,9375;0,270833333333333
"dados5";"dados11";0,695652173913044;0,5;0,851851851851852;0,351851851851852
"dados5";"dados12";0,75;0,666666666666667;0,944444444444444;0,277777777777778
"dados6";"dados7";0,739130434782609;0,5;0,925925925925926;0,425925925925926
"dados6";"dados8";0,571428571428572;0,666666666666667;0,892857142857143;0,226190476190476
"dados6";"dados9";0,684210526315789;0,5;0,85;0,35
"dados6";"dados10";0,578947368421053;0,666666666666667;0,909090909090909;0,242424242424242
"dados6";"dados11";0,478260869565217;0,357142857142857;0,689655172413793;0,332512315270936
"dados6";"dados12";0,75;0,75;0,96;0,21
"dados7";"dados8";0,619047619047619;0,777777777777778;0,923076923076923;0,145299145299145
"dados7";"dados9";0,736842105263158;1;1;0
"dados7";"dados10";0,470588235294118;0,666666666666667;0,833333333333333;0,166666666666667
"dados7";"dados11";0,521739130434783;0,666666666666667;0,870967741935484;0,204301075268817
"dados7";"dados12";0,739130434782609;0,5;0,904761904761905;0,404761904761905
"dados8";"dados9";0,611111111111111;0,25;0,842105263157895;0,592105263157895
"dados8";"dados10";0,5;0,8;0,904761904761905;0,104761904761905
"dados8";"dados11";0,409090909090909;0,736842105263158;0,84375;0,106907894736842
"dados8";"dados12";0,695652173913044;0,8;0,958333333333333;0,158333333333333
"dados9";"dados10";0,625;0,333333333333333;0,846153846153846;0,512820512820513
"dados9";"dados11";0,571428571428572;0,625;0,884615384615385;0,259615384615385
"dados9";"dados12";0,684210526315789;0,5;0,866666666666667;0,366666666666667
"dados10";"dados11";0,4;0,416666666666667;0,695652173913044;0,278985507246377
"dados10";"dados12";0,714285714285714;0,5;0,875;0,375
"dados11";"dados12";0,653846153846154;0,625;0,896551724137931;0,271551724137931
