"i";"j";"S";"OS";"WN";"ST";"ST.l";"ST.h";"ST.lh";"WN.repl";"OS.repl";"WN.rich";"OS.rich"
"dados1";"dados2";0,529411764705882;0,1875;0,75;0,5625;0,25;0,25;0,0625;0,625;0,125;0,125;0,0625
"dados1";"dados3";0,529411764705882;0,166666666666667;0,722222222222222;0,555555555555556;0,277777777777778;0,111111111111111;0,166666666666667;0,444444444444444;0,111111111111111;0,277777777777778;0,0555555555555556
"dados1";"dados4";0,384615384615385;0,214285714285714;0,642857142857143;0,428571428571429;0,357142857142857;0,0714285714285714;0;0,571428571428571;0,142857142857143;0,0714285714285714;0,0714285714285714
"dados1";"dados5";0,764705882352941;0,117647058823529;0,941176470588235;0,823529411764706;0,647058823529412;0,0588235294117647;0,117647058823529;0,941176470588235;0;0;0,117647058823529
"dados1";"dados6";0,555555555555556;0,15;0,75;0,6;0,45;0;0,15;0,4;0,1;0,35;0,05
"dados1";"dados7";0,684210526315789;0,1;0,9;0,8;0,3;0,3;0,2;0,7;0,1;0,2;0
"dados1";"dados8";0,631578947368421;0,217391304347826;0,956521739130435;0,739130434782609;0,391304347826087;0,260869565217391;0,0869565217391304;0,695652173913043;0,173913043478261;0,260869565217391;0,0434782608695652
"dados1";"dados9";0,5;0,230769230769231;0,769230769230769;0,538461538461538;0,230769230769231;0,230769230769231;0,0769230769230769;0,615384615384615;0,153846153846154;0,153846153846154;0,0769230769230769
"dados1";"dados10";0,466666666666667;0,230769230769231;0,692307692307692;0,461538461538462;0,230769230769231;0,153846153846154;0,0769230769230769;0,615384615384615;0,153846153846154;0,0769230769230769;0,0769230769230769
"dados1";"dados11";0,45;0,166666666666667;0,708333333333333;0,541666666666667;0,291666666666667;0,0833333333333333;0,166666666666667;0,166666666666667;0,166666666666667;0,541666666666667;0
"dados1";"dados12";0,631578947368421;0,176470588235294;0,882352941176471;0,705882352941177;0,235294117647059;0,352941176470588;0,117647058823529;0,823529411764706;0;0,0588235294117647;0,176470588235294
"dados2";"dados3";0,6;0,304347826086957;0,91304347826087;0,608695652173913;0,391304347826087;0,173913043478261;0,0434782608695652;0,782608695652174;0,173913043478261;0,130434782608696;0,130434782608696
"dados2";"dados4";0,588235294117647;0,277777777777778;0,833333333333333;0,555555555555556;0,277777777777778;0,0555555555555556;0,222222222222222;0,777777777777778;0,111111111111111;0,0555555555555556;0,166666666666667
"dados2";"dados5";0,666666666666667;0,0588235294117647;0,823529411764706;0,764705882352941;0,647058823529412;0;0,117647058823529;0,705882352941177;0;0,117647058823529;0,0588235294117647
"dados2";"dados6";0,619047619047619;0,130434782608696;0,826086956521739;0,695652173913043;0,304347826086957;0,304347826086957;0,0869565217391304;0,608695652173913;0;0,217391304347826;0,130434782608696
"dados2";"dados7";0,6;0,272727272727273;0,909090909090909;0,636363636363636;0,318181818181818;0,0909090909090909;0,227272727272727;0,818181818181818;0,181818181818182;0,0909090909090909;0,0909090909090909
"dados2";"dados8";0,388888888888889;0,25;0,7;0,45;0,35;0,1;0;0,5;0,2;0,2;0,05
"dados2";"dados9";0,666666666666667;0,125;0,875;0,75;0,1875;0,25;0,3125;0,625;0,125;0,25;0
"dados2";"dados10";0,470588235294118;0,25;0,8125;0,5625;0,4375;0,125;0;0,625;0,25;0,1875;0
"dados2";"dados11";0,521739130434783;0,285714285714286;0,821428571428571;0,535714285714286;0,285714285714286;0,178571428571429;0,0714285714285714;0,428571428571429;0,142857142857143;0,392857142857143;0,142857142857143
"dados2";"dados12";0,55;0,210526315789474;0,894736842105263;0,684210526315789;0,315789473684211;0,315789473684211;0,0526315789473684;0,842105263157895;0,210526315789474;0,0526315789473684;0
"dados3";"dados4";0,588235294117647;0,238095238095238;0,857142857142857;0,619047619047619;0,428571428571429;0,0476190476190476;0,142857142857143;0,666666666666667;0,19047619047619;0,19047619047619;0,0476190476190476
"dados3";"dados5";0,666666666666667;0,15;0,85;0,7;0,35;0,1;0,25;0,6;0,1;0,25;0,05
"dados3";"dados6";0,55;0,307692307692308;0,846153846153846;0,538461538461538;0,307692307692308;0,230769230769231;0;0,769230769230769;0,230769230769231;0,0769230769230769;0,0769230769230769
"dados3";"dados7";0,6;0,28;0,92;0,64;0,32;0,2;0,12;0,88;0,16;0,04;0,12
"dados3";"dados8";0,55;0,269230769230769;0,884615384615385;0,615384615384615;0,346153846153846;0,115384615384615;0,153846153846154;0,846153846153846;0,153846153846154;0,0384615384615385;0,115384615384615
"dados3";"dados9";0,588235294117647;0;0,764705882352941;0,764705882352941;0,176470588235294;0,411764705882353;0,176470588235294;0,352941176470588;0;0,411764705882353;0
"dados3";"dados10";0,631578947368421;0,105263157894737;0,842105263157895;0,736842105263158;0,631578947368421;0,0526315789473684;0,0526315789473684;0,526315789473684;0;0,315789473684211;0,105263157894737
"dados3";"dados11";0,454545454545455;0,285714285714286;0,714285714285714;0,428571428571429;0,214285714285714;0,178571428571429;0,0357142857142857;0,428571428571429;0,285714285714286;0,285714285714286;0
"dados3";"dados12";0,739130434782609;0,130434782608696;0,956521739130435;0,826086956521739;0,391304347826087;0,173913043478261;0,260869565217391;0,782608695652174;0;0,173913043478261;0,130434782608696
"dados4";"dados5";0,666666666666667;0,277777777777778;0,944444444444444;0,666666666666667;0,5;0,0555555555555556;0,111111111111111;0,888888888888889;0,222222222222222;0,0555555555555556;0,0555555555555556
"dados4";"dados6";0,611111111111111;0,05;0,7;0,65;0,35;0,05;0,25;0,4;0;0,3;0,05
