i;j;OS_Com;WN_Com;ST_Com;ST_l_Com;ST_h_Com;ST_lh_Com;WN_repl_Com;WN_rich_Com;OS_Poi;WN_Poi;ST_Poi
dados1;dados2;0.1875;0.75;0.5625;0.25;0.25;0.0625;0.625;0.125;0.428571429;0.75;0.321428571
dados1;dados3;0.166666667;0.722222222;0.555555556;0.277777778;0.111111111;0.166666667;0.444444444;0.277777778;0.375;0.722222222;0.347222222
dados1;dados4;0.214285714;0.642857143;0.428571429;0.357142857;0.071428571;0;0.571428571;0.071428571;0.375;0.642857143;0.267857143
dados1;dados5;0.117647059;0.941176471;0.823529412;0.647058824;0.058823529;0.117647059;0.941176471;0;0.666666667;0.941176471;0.274509804
dados1;dados6;0.15;0.75;0.6;0.45;0;0.15;0.4;0.35;0.375;0.75;0.375
dados1;dados7;0.1;0.9;0.8;0.3;0.3;0.2;0.7;0.2;0.5;0.9;0.4
dados1;dados8;0.217391304;0.956521739;0.739130435;0.391304348;0.260869565;0.086956522;0.695652174;0.260869565;0.833333333;0.956521739;0.123188406
dados1;dados9;0.230769231;0.769230769;0.538461538;0.230769231;0.230769231;0.076923077;0.615384615;0.153846154;0.5;0.769230769;0.269230769
dados1;dados10;0.230769231;0.692307692;0.461538462;0.230769231;0.153846154;0.076923077;0.615384615;0.076923077;0.428571429;0.692307692;0.263736264
dados1;dados11;0.166666667;0.708333333;0.541666667;0.291666667;0.083333333;0.166666667;0.166666667;0.541666667;0.363636364;0.708333333;0.34469697
dados1;dados12;0.176470588;0.882352941;0.705882353;0.235294118;0.352941176;0.117647059;0.823529412;0.058823529;0.6;0.882352941;0.282352941
dados2;dados3;0.304347826;0.913043478;0.608695652;0.391304348;0.173913043;0.043478261;0.782608696;0.130434783;0.777777778;0.913043478;0.1352657
dados2;dados4;0.277777778;0.833333333;0.555555556;0.277777778;0.055555556;0.222222222;0.777777778;0.055555556;0.625;0.833333333;0.208333333
dados2;dados5;0.058823529;0.823529412;0.764705882;0.647058824;0;0.117647059;0.705882353;0.117647059;0.25;0.823529412;0.573529412
dados2;dados6;0.130434783;0.826086957;0.695652174;0.304347826;0.304347826;0.086956522;0.608695652;0.217391304;0.428571429;0.826086957;0.397515528
dados2;dados7;0.272727273;0.909090909;0.636363636;0.318181818;0.090909091;0.227272727;0.818181818;0.090909091;0.75;0.909090909;0.159090909
dados2;dados8;0.25;0.7;0.45;0.35;0.1;0;0.5;0.2;0.454545455;0.7;0.245454545
dados2;dados9;0.125;0.875;0.75;0.1875;0.25;0.3125;0.625;0.25;0.5;0.875;0.375
dados2;dados10;0.25;0.8125;0.5625;0.4375;0.125;0;0.625;0.1875;0.571428571;0.8125;0.241071429
dados2;dados11;0.285714286;0.821428571;0.535714286;0.285714286;0.178571429;0.071428571;0.428571429;0.392857143;0.615384615;0.821428571;0.206043956
dados2;dados12;0.210526316;0.894736842;0.684210526;0.315789474;0.315789474;0.052631579;0.842105263;0.052631579;0.666666667;0.894736842;0.228070175
dados3;dados4;0.238095238;0.857142857;0.619047619;0.428571429;0.047619048;0.142857143;0.666666667;0.19047619;0.625;0.857142857;0.232142857
dados3;dados5;0.15;0.85;0.7;0.35;0.1;0.25;0.6;0.25;0.5;0.85;0.35
dados3;dados6;0.307692308;0.846153846;0.538461538;0.307692308;0.230769231;0;0.769230769;0.076923077;0.666666667;0.846153846;0.179487179
dados3;dados7;0.28;0.92;0.64;0.32;0.2;0.12;0.88;0.04;0.777777778;0.92;0.142222222
dados3;dados8;0.269230769;0.884615385;0.615384615;0.346153846;0.115384615;0.153846154;0.846153846;0.038461538;0.7;0.884615385;0.184615385
dados3;dados9;0;0.764705882;0.764705882;0.176470588;0.411764706;0.176470588;0.352941176;0.411764706;0;0.764705882;0.764705882
dados3;dados10;0.105263158;0.842105263;0.736842105;0.631578947;0.052631579;0.052631579;0.526315789;0.315789474;0.4;0.842105263;0.442105263
dados3;dados11;0.285714286;0.714285714;0.428571429;0.214285714;0.178571429;0.035714286;0.428571429;0.285714286;0.5;0.714285714;0.214285714
dados3;dados12;0.130434783;0.956521739;0.826086957;0.391304348;0.173913043;0.260869565;0.782608696;0.173913043;0.75;0.956521739;0.206521739
dados4;dados5;0.277777778;0.944444444;0.666666667;0.5;0.055555556;0.111111111;0.888888889;0.055555556;0.833333333;0.944444444;0.111111111
dados4;dados6;0.05;0.7;0.65;0.35;0.05;0.25;0.4;0.3;0.142857143;0.7;0.557142857
dados4;dados7;0.142857143;0.904761905;0.761904762;0.285714286;0.380952381;0.095238095;0.761904762;0.142857143;0.6;0.904761905;0.304761905
dados4;dados8;0.166666667;0.958333333;0.791666667;0.5;0.125;0.166666667;0.75;0.208333333;0.8;0.958333333;0.158333333
