rede;OS;WN;ST;ST_L;ST_h;ST_LH;WN.repl;WN.rich
1;0;0.6666667;0.6666667;0.2222222;0.1111111;0.3333333;0;0.6666667
2;0.09090909;0.72727273;0.63636364;0.36363636;0.09090909;0.18181818;0.54545455;0.18181818
3;0.07142857;0.78571429;0.71428571;0.64285714;0;0.07142857;0.14285714;0.64285714
4;0.2;0.9;0.7;0.5;0.1;0.1;0.8;0.1
5;0;0.8888889;0.8888889;0.3333333;0;0.5555556;0;0.8888889
6;0;0.8125;0.8125;0.1875;0.25;0.375;0.375;0.4375
7;0.07692308;0.69230769;0.61538462;0.30769231;0.15384615;0.15384615;0.15384615;0.53846154
8;0.2666667;0.8;0.5333333;0;0.3333333;0.2;0.4;0.4
9;0;0.8571429;0.8571429;0.2857143;0;0.5714286;0.2857143;0.5714286
10;0;0.875;0.875;0.5;0.125;0.25;0.75;0.125
11;0.09090909;0.68181818;0.59090909;0.27272727;0.27272727;0.04545455;0.54545455;0.13636364
12;0;0.9;0.9;0;0.4;0.5;0.6;0.3
