net;AREA_1500;LPI_1500;NP_1500;ED_1500;TE_1500;ENM_1500;COHES_1500
1;329.2778624;5.948286842;25;25.47446185;18000;139.7101337;92.12583143
2;367.7972539;15.40423361;35;40.6358922;28680;90.31261696;94.80684498
3;179.2875542;1.757514009;35;39.86245543;28170;139.063212;84.97436719
4;276.965096;9.154570919;26;38.11221458;26940;86.67314428;95.12382784
5;349.3618777;16.04686704;38;53.95652912;38130;71.66839315;95.9016832
6;450.0950504;53.25948561;22;91.88523894;64950;96.95412246;99.35718226
7;230.3519178;4.419819131;56;75.74406657;53520;85.77115371;91.68964403
8;192.8372588;5.552018337;32;55.73241649;39390;99.34501884;91.85618963
9;467.8195538;37.98548325;31;88.88322934;62820;80.74220335;98.62270046
10;262.2128449;24.40764331;17;82.71762208;58440;96.13183632;98.34235955
11;292.1844121;12.83095723;34;69.96775289;49470;87.4515846;95.1045197
12;254.0190369;5.096190598;53;80.98696225;57210;95.27569531;92.05323324
