net;NP_3000;ED_3000;ENM_3000;AREA_3000;NP_A_3000
1;86;24.79672208;165.7369076;233.4010613;4
2;133;47.2914145;100.2380438;427.312359;19
3;153;35.15869729;112.7677881;271.5689222;7
4;55;28.3640531;119.8682681;476.0368511;21
5;82;51.02982841;83.77169221;403.976551;45
6;118;83.83220821;86.46805353;700.219941;85
7;173;80.33790739;84.16914372;547.0453606;55
8;164;59.37410461;92.68440377;296.6246014;16
9;99;77.49567286;86.21569738;437.5027324;59
10;109;73.63168233;88.23447281;471.1429725;38
11;104;56.425933;97.93547198;367.5671002;84
12;187;65.5055667;94.04428254;328.7059024;27
