net;AREA;LPI;NP;ED;TE;ENM;COHES
1;97.10693994;19.40298507;3;56.25717566;4410;160;93.97824677
2;64.96596133;4.118993135;4;36.23188406;2850;149.0541765;83.10207646
3;122.0860797;5.848623853;8;89.06727829;6990;110.9921836;85.1051425
4;102.4035929;1.718213058;9;33.2187858;2610;88.24045318;60.87499256
5;227.2567907;26.74285714;7;50.28571429;3960;70.87127596;93.56910921
6;135.0266514;64.37571592;2;79.03780069;6210;134.1640786;98.7956622
7;135.9820733;17.50572082;2;57.20823799;4500;212.1320344;94.73673058
8;127.3743542;20.0228833;5;81.23569794;6390;90.23599177;92.81455865
9;165.0983154;49.7706422;3;125.382263;9840;107.9669128;98.20665794
10;145.2509669;22.93577982;6;53.13455657;4170;107.1178742;93.88967627
11;183.3047399;47.76119403;4;82.28090318;6450;97.08203932;97.41137737
12;162.0610066;7.322654462;19;135.7742182;10680;78.44023167;83.63857784
